;x;y;Ti;Nb;Mo;Ta;W
Spectrum 1 {6};-22.67;-40.969;14.5;13.4;30.9;27.5;13.7
Spectrum 1 {7};-18.169;-40.969;15.7;12.8;31.4;26.1;13.9
Spectrum 1 {8};-13.67;-40.969;17.6;12.5;30.9;24.6;14.4
Spectrum 1 {9};-9.17;-40.969;18.6;12.7;30.9;23.0;14.8
Spectrum 1 {10};-4.67;-40.969;20.2;12.5;30.8;21.5;14.9
Spectrum 1 {11};-0.171;-40.969;22.3;11.9;30.1;20.5;15.2
Spectrum 1 {12};4.319;-40.969;23.8;11.4;30.6;18.9;15.4
Spectrum 1 {13};8.819;-40.969;25.2;10.9;30.3;17.6;16.0
Spectrum 1 {14};13.319;-40.969;26.7;10.8;29.6;16.6;16.3
Spectrum 1 {15};17.819;-40.969;28.6;10.4;29.2;15.6;16.3
Spectrum 1 {16};22.319;-40.969;29.9;9.8;29.3;14.2;16.8
Spectrum 1 {26};-27.17;-36.47;13.2;14.7;28.8;29.6;13.7
Spectrum 1 {27};-22.669;-36.47;14.4;14.2;29.5;28.1;13.8
Spectrum 1 {28};-18.17;-36.47;16.2;13.5;29.9;26.1;14.3
Spectrum 1 {29};-13.669;-36.47;17.6;13.5;29.4;24.5;15.1
Spectrum 1 {30};-9.17;-36.47;18.9;13.6;29.4;23.0;15.0
Spectrum 1 {31};-4.668;-36.47;20.6;13.0;29.2;21.6;15.6
Spectrum 1 {32};-0.169;-36.47;22.3;12.7;28.9;20.3;15.8
Spectrum 1 {33};4.318;-36.47;23.6;11.7;29.3;19.4;15.9
Spectrum 1 {34};8.819;-36.47;25.6;12.0;28.4;17.8;16.2
Spectrum 1 {35};13.318;-36.47;26.9;11.5;28.7;16.5;16.5
Spectrum 1 {36};17.819;-36.47;28.5;11.0;28.3;15.4;16.7
Spectrum 1 {37};22.32;-36.47;30.3;10.8;27.6;14.5;16.8
Spectrum 1 {38};26.82;-36.47;31.8;10.4;27.4;13.4;17.0
Spectrum 1 {46};-31.67;-31.969;12.1;15.0;27.7;31.5;13.7
Spectrum 1 {47};-27.171;-31.969;13.1;15.5;27.8;29.7;13.8
Spectrum 1 {48};-22.67;-31.969;14.4;14.9;27.7;28.5;14.5
Spectrum 1 {49};-18.171;-31.969;15.9;14.6;27.9;26.6;15.0
Spectrum 1 {50};-13.67;-31.969;17.3;14.5;28.2;24.7;15.4
Spectrum 1 {51};-9.169;-31.969;19.2;13.9;27.9;23.4;15.7
Spectrum 1 {52};-4.669;-31.969;20.8;13.6;28.1;21.8;15.8
Spectrum 1 {53};-0.169;-31.969;22.1;13.3;27.7;20.2;16.6
Spectrum 1 {54};4.318;-31.969;23.6;12.9;28.2;18.8;16.6
Spectrum 1 {55};8.819;-31.969;25.5;12.1;27.3;17.9;17.2
Spectrum 1 {56};13.32;-31.969;26.8;11.4;27.2;17.0;17.6
Spectrum 1 {57};17.819;-31.969;28.9;11.1;26.6;15.7;17.7
Spectrum 1 {58};22.32;-31.969;30.2;11.3;26.5;14.3;17.7
Spectrum 1 {59};26.819;-31.969;32.1;10.2;25.9;13.7;18.1
Spectrum 1 {60};31.32;-31.969;33.6;10.0;25.5;12.7;18.2
Spectrum 1 {66};-36.169;-27.464;10.7;17.1;25.5;33.2;13.6
Spectrum 1 {67};-31.672;-27.464;12.3;16.1;25.6;31.8;14.2
Spectrum 1 {68};-27.171;-27.464;13.3;16.5;25.7;29.8;14.7
Spectrum 1 {69};-22.669;-27.464;14.6;16.2;25.6;28.3;15.3
Spectrum 1 {70};-18.168;-27.464;15.6;15.8;27.1;26.1;15.4
Spectrum 1 {71};-13.669;-27.464;17.4;15.3;26.9;24.5;16.0
Spectrum 1 {72};-9.17;-27.464;19.2;14.5;26.5;23.5;16.4
Spectrum 1 {73};-4.669;-27.464;20.2;14.1;26.3;22.3;17.0
Spectrum 1 {74};-0.169;-27.464;21.9;13.8;26.6;20.3;17.4
Spectrum 1 {75};4.321;-27.464;23.4;14.1;26.4;18.9;17.2
Spectrum 1 {76};8.819;-27.464;24.9;13.3;26.2;18.0;17.7
Spectrum 1 {77};13.319;-27.464;26.4;13.3;25.9;16.5;18.0
Spectrum 1 {78};17.82;-27.464;28.9;11.6;25.2;15.8;18.5
Spectrum 1 {79};22.32;-27.464;30.1;11.5;25.3;14.5;18.6
Spectrum 1 {80};26.82;-27.464;31.9;11.5;24.3;13.7;18.6
Spectrum 1 {81};31.321;-27.464;33.6;10.6;24.4;12.5;18.9
Spectrum 1 {82};35.818;-27.464;35.3;10.1;23.5;12.1;19.1
Spectrum 1 {86};-40.67;-22.967;10.1;17.1;23.9;34.9;14.0
Spectrum 1 {87};-36.17;-22.967;11.4;16.7;24.5;33.2;14.1
Spectrum 1 {88};-31.669;-22.967;11.8;17.3;24.4;31.5;15.0
Spectrum 1 {89};-27.17;-22.967;12.9;16.9;25.5;29.4;15.3
Spectrum 1 {90};-22.668;-22.967;14.7;16.9;25.0;27.9;15.6
Spectrum 1 {91};-18.168;-22.967;15.8;16.6;24.7;26.5;16.4
Spectrum 1 {92};-13.67;-22.967;17.2;16.3;24.9;24.8;16.8
Spectrum 1 {93};-9.169;-22.967;18.6;15.9;25.2;23.3;17.0
Spectrum 1 {94};-4.671;-22.967;19.9;15.0;26.0;22.0;17.0
Spectrum 1 {95};-0.171;-22.967;22.2;15.0;24.4;20.5;17.9
Spectrum 1 {96};4.32;-22.967;22.7;14.1;25.4;19.3;18.4
Spectrum 1 {97};8.819;-22.967;24.8;13.7;25.3;17.7;18.5
Spectrum 1 {98};13.318;-22.967;26.5;13.4;24.3;16.9;18.9
Spectrum 1 {99};17.82;-22.967;28.4;12.9;23.6;15.9;19.1
Spectrum 1 {100};22.32;-22.967;29.7;12.4;24.0;14.5;19.4
Spectrum 1 {101};26.82;-22.967;31.3;11.7;23.6;13.7;19.7
Spectrum 1 {102};31.318;-22.967;32.8;11.5;23.5;12.7;19.5
Spectrum 1 {103};35.819;-22.967;35.1;11.1;21.8;12.0;20.0
Spectrum 1 {104};40.318;-22.967;36.7;10.3;21.2;11.5;20.3
Spectrum 1 {107};-40.671;-18.467;9.7;19.1;23.1;34.4;13.7
Spectrum 1 {108};-36.169;-18.467;10.4;18.6;23.2;33.2;14.5
Spectrum 1 {109};-31.67;-18.467;11.8;18.3;23.2;31.8;15.0
Spectrum 1 {110};-27.169;-18.467;13.0;18.0;24.4;29.3;15.3
Spectrum 1 {111};-22.669;-18.467;14.5;17.6;23.8;27.6;16.5
Spectrum 1 {112};-18.168;-18.467;15.6;17.8;24.3;26.0;16.3
Spectrum 1 {113};-13.671;-18.467;17.1;17.1;23.5;25.1;17.3
Spectrum 1 {114};-9.169;-18.467;18.7;16.5;23.6;23.5;17.7
Spectrum 1 {115};-4.668;-18.467;19.9;16.0;23.6;22.0;18.4
Spectrum 1 {116};-0.169;-18.467;21.6;15.5;23.8;20.4;18.6
Spectrum 1 {117};4.32;-18.467;22.7;15.5;23.3;19.6;18.8
Spectrum 1 {118};8.819;-18.467;25.0;14.6;22.9;17.9;19.5
Spectrum 1 {119};13.32;-18.467;26.1;14.1;23.3;16.6;19.8
Spectrum 1 {120};17.818;-18.467;28.5;12.8;22.6;16.1;20.1
Spectrum 1 {121};22.32;-18.467;29.6;13.0;22.3;14.8;20.3
Spectrum 1 {122};26.82;-18.467;31.3;12.3;21.7;13.7;20.9
Spectrum 1 {123};31.32;-18.467;32.7;12.1;21.7;12.9;20.7
Spectrum 1 {124};35.82;-18.467;34.7;11.2;21.1;11.9;21.1
Spectrum 1 {125};40.318;-18.467;36.5;10.8;20.6;11.1;21.0
Spectrum 1 {127};-45.167;-13.964;9.1;19.6;21.4;36.3;13.6
