index,x,y
1,-22500,-40500
2,-18000,-40500
3,-13500,-40500
4,-9000,-40500
5,-4500,-40500
6,0,-40500
7,4500,-40500
8,9000,-40500
9,13500,-40500
10,18000,-40500
11,22500,-40500
12,-27000,-36000
13,-22500,-36000
14,-18000,-36000
15,-13500,-36000
16,-9000,-36000
17,-4500,-36000
18,0,-36000
19,4500,-36000
20,9000,-36000
21,13500,-36000
22,18000,-36000
23,22500,-36000
24,27000,-36000
25,-31500,-31500
26,-27000,-31500
27,-22500,-31500
28,-18000,-31500
29,-13500,-31500
30,-9000,-31500
31,-4500,-31500
32,0,-31500
33,4500,-31500
34,9000,-31500
35,13500,-31500
36,18000,-31500
37,22500,-31500
38,27000,-31500
39,31500,-31500
40,-36000,-27000
41,-31500,-27000
42,-27000,-27000
43,-22500,-27000
44,-18000,-27000
45,-13500,-27000
46,-9000,-27000
47,-4500,-27000
48,0,-27000
49,4500,-27000
50,9000,-27000
51,13500,-27000
52,18000,-27000
53,22500,-27000
54,27000,-27000
55,31500,-27000
56,36000,-27000
57,-40500,-22500
58,-36000,-22500
59,-31500,-22500
60,-27000,-22500
61,-22500,-22500
62,-18000,-22500
63,-13500,-22500
64,-9000,-22500
65,-4500,-22500
66,0,-22500
67,4500,-22500
68,9000,-22500
69,13500,-22500
70,18000,-22500
71,22500,-22500
72,27000,-22500
73,31500,-22500
74,36000,-22500
75,40500,-22500
76,-40500,-18000
77,-36000,-18000
78,-31500,-18000
79,-27000,-18000
80,-22500,-18000
81,-18000,-18000
82,-13500,-18000
83,-9000,-18000
84,-4500,-18000
85,0,-18000
86,4500,-18000
87,9000,-18000
88,13500,-18000
89,18000,-18000
90,22500,-18000
91,27000,-18000
92,31500,-18000
93,36000,-18000
94,40500,-18000
95,-45000,-13500
96,-40500,-13500
97,-36000,-13500
98,-31500,-13500
99,-27000,-13500
100,-22500,-13500
101,-18000,-13500
102,-13500,-13500
103,-9000,-13500
104,-4500,-13500
105,0,-13500
106,4500,-13500
107,9000,-13500
108,13500,-13500
109,18000,-13500
110,22500,-13500
111,27000,-13500
112,31500,-13500
113,36000,-13500
114,40500,-13500
115,45000,-13500
116,-45000,-9000
117,-40500,-9000
118,-36000,-9000
119,-31500,-9000
120,-27000,-9000
121,-22500,-9000
122,-18000,-9000
123,-13500,-9000
124,-9000,-9000
125,-4500,-9000
126,0,-9000
127,4500,-9000
128,9000,-9000
129,13500,-9000
130,18000,-9000
131,22500,-9000
132,27000,-9000
133,31500,-9000
134,36000,-9000
135,40500,-9000
136,45000,-9000
137,-45000,-4500
138,-40500,-4500
139,-36000,-4500
140,-31500,-4500
141,-27000,-4500
142,-22500,-4500
143,-18000,-4500
144,-13500,-4500
145,-9000,-4500
146,-4500,-4500
147,0,-4500
148,4500,-4500
149,9000,-4500
150,13500,-4500
151,18000,-4500
152,22500,-4500
153,27000,-4500
154,31500,-4500
155,36000,-4500
156,40500,-4500
157,45000,-4500
158,-45000,0
159,-40500,0
160,-36000,0
161,-31500,0
162,-27000,0
163,-22500,0
164,-18000,0
165,-13500,0
166,-9000,0
167,-4500,0
168,0,0
169,4500,0
170,9000,0
171,13500,0
172,18000,0
173,22500,0
174,27000,0
175,31500,0
176,36000,0
177,40500,0
178,45000,0
179,-45000,4500
180,-40500,4500
181,-36000,4500
182,-31500,4500
183,-27000,4500
184,-22500,4500
185,-18000,4500
186,-13500,4500
187,-9000,4500
188,-4500,4500
189,0,4500
190,4500,4500
191,9000,4500
192,13500,4500
193,18000,4500
194,22500,4500
195,27000,4500
196,31500,4500
197,36000,4500
198,40500,4500
199,45000,4500
200,-45000,9000
201,-40500,9000
202,-36000,9000
203,-31500,9000
204,-27000,9000
205,-22500,9000
206,-18000,9000
207,-13500,9000
208,-9000,9000
209,-4500,9000
210,0,9000
211,4500,9000
212,9000,9000
213,13500,9000
214,18000,9000
215,22500,9000
216,27000,9000
217,31500,9000
218,36000,9000
219,40500,9000
220,45000,9000
221,-45000,13500
222,-40500,13500
223,-36000,13500
224,-31500,13500
225,-27000,13500
226,-22500,13500
227,-18000,13500
228,-13500,13500
229,-9000,13500
230,-4500,13500
231,0,13500
232,4500,13500
233,9000,13500
234,13500,13500
235,18000,13500
236,22500,13500
237,27000,13500
238,31500,13500
239,36000,13500
