x,y,Ru,Pd,Ag,Ir,Pt
-22.46,-41.223,32.0,16.1,12.9,29.4,9.6
-17.96,-41.223,30.6,16.9,12.6,29.6,10.2
-13.46,-41.223,29.2,18.8,12.0,29.7,10.3
-8.96,-41.223,27.7,18.9,11.5,30.7,11.1
-4.458,-41.223,26.4,20.5,11.7,30.1,11.3
0.028,-41.223,26.0,21.3,10.3,30.6,11.7
4.529,-41.223,23.5,23.2,10.9,30.4,12.0
9.029,-41.223,22.1,24.5,10.5,30.3,12.6
13.53,-41.223,22.0,25.1,9.7,30.3,12.8
18.029,-41.223,20.7,27.3,9.2,29.7,13.1
22.529,-41.223,19.1,28.3,9.0,29.8,14.0
-26.961,-36.719,33.3,15.7,14.2,27.2,9.6
-22.459,-36.719,32.4,16.4,13.6,27.8,9.8
-17.96,-36.719,31.1,17.2,13.3,28.0,10.3
-13.459,-36.719,30.1,18.4,12.8,28.3,10.4
-8.96,-36.719,27.3,19.3,13.4,29.1,10.9
-4.46,-36.719,26.8,20.4,12.6,29.2,11.0
0.028,-36.719,25.2,21.2,12.1,29.6,11.7
4.528,-36.719,23.5,23.6,11.7,29.4,11.9
9.029,-36.719,22.6,24.7,11.2,29.1,12.4
13.53,-36.719,21.8,25.2,11.3,28.9,12.8
18.031,-36.719,20.1,27.2,10.9,28.6,13.2
22.529,-36.719,19.2,28.9,10.4,28.4,13.2
27.028,-36.719,18.1,30.4,9.8,27.7,14.0
-31.46,-32.219,35.0,14.6,15.8,24.7,9.9
-26.96,-32.219,33.8,15.5,15.0,26.1,9.6
-22.46,-32.219,32.6,16.0,14.4,26.5,10.5
-17.96,-32.219,30.6,17.7,14.9,26.1,10.6
-13.459,-32.219,29.2,18.7,14.0,26.8,11.3
-8.96,-32.219,27.5,19.3,14.2,27.5,11.4
-4.46,-32.219,26.5,20.8,13.5,27.5,11.6
0.029,-32.219,25.5,21.6,13.2,27.6,12.1
4.528,-32.219,23.9,22.6,13.1,27.8,12.5
9.029,-32.219,22.8,24.7,12.2,27.4,12.9
13.528,-32.219,21.7,25.4,12.3,27.8,12.9
18.03,-32.219,20.3,27.2,11.9,27.3,13.3
22.529,-32.219,19.3,29.0,11.5,26.6,13.7
27.03,-32.219,18.2,30.6,10.5,26.4,14.3
31.53,-32.219,17.7,31.3,10.9,25.7,14.4
-35.961,-27.717,36.8,13.2,17.1,23.1,9.8
-31.46,-27.717,34.7,15.0,17.1,23.3,9.8
-26.96,-27.717,33.2,15.1,17.1,24.6,10.1
-22.459,-27.717,31.6,16.2,16.8,25.0,10.4
-17.96,-27.717,30.4,17.3,15.7,25.5,11.1
-13.459,-27.717,28.9,18.9,15.6,25.2,11.4
-8.959,-27.717,28.1,18.9,15.4,26.5,11.2
-4.458,-27.717,26.8,20.3,14.3,26.5,12.0
0.03,-27.717,24.9,22.5,13.9,26.2,12.5
4.53,-27.717,23.8,23.0,13.5,26.6,13.2
9.028,-27.717,23.0,23.5,13.9,26.5,13.0
13.529,-27.717,21.2,25.9,13.6,26.1,13.3
18.029,-27.717,20.2,27.0,12.4,26.4,14.0
22.531,-27.717,19.3,28.6,12.4,25.7,14.1
27.029,-27.717,18.1,30.1,11.9,25.1,14.8
31.53,-27.717,17.0,31.3,11.7,25.2,14.8
36.028,-27.717,16.3,33.3,10.9,24.1,15.3
-40.459,-23.217,37.7,13.1,18.7,20.9,9.6
-35.962,-23.217,36.3,13.7,18.9,21.2,9.9
-31.461,-23.217,34.4,14.3,18.7,22.4,10.1
-26.96,-23.217,33.3,15.4,17.9,22.9,10.4
-22.458,-23.217,31.8,16.8,17.4,23.2,10.8
-17.959,-23.217,30.0,17.0,17.4,24.0,11.5
-13.459,-23.217,28.3,19.4,16.4,24.0,11.9
-8.96,-23.217,28.0,19.2,16.1,24.8,11.9
-4.458,-23.217,25.9,21.3,15.5,24.8,12.5
0.029,-23.217,24.7,22.2,15.9,24.2,12.9
4.528,-23.217,23.3,23.7,14.8,25.2,13.0
9.029,-23.217,22.6,24.3,14.3,25.0,13.8
13.529,-23.217,21.2,26.7,13.8,24.9,13.5
18.031,-23.217,20.1,27.3,13.2,25.0,14.4
22.53,-23.217,19.2,28.4,13.2,24.9,14.4
27.03,-23.217,17.9,29.8,12.8,24.2,15.2
31.53,-23.217,17.2,31.3,11.9,24.0,15.6
36.03,-23.217,16.3,33.3,11.6,23.0,15.8
40.53,-23.217,14.8,35.3,11.3,22.6,16.0
-40.458,-18.716,37.0,12.9,20.5,19.8,9.8
-35.96,-18.716,36.1,13.1,19.7,20.3,10.7
-31.462,-18.716,34.1,15.0,19.3,21.1,10.4
-26.961,-18.716,32.3,15.6,19.0,22.0,11.1
-22.46,-18.716,31.3,16.4,18.9,21.9,11.6
-17.96,-18.716,29.6,18.1,18.2,22.4,11.7
-13.46,-18.716,28.7,17.7,18.1,23.1,12.4
-8.96,-18.716,27.6,19.0,17.4,23.5,12.5
-4.458,-18.716,25.6,20.6,16.9,23.9,12.9
0.028,-18.716,24.3,22.0,16.5,23.9,13.4
4.529,-18.716,23.2,22.8,16.1,24.2,13.6
9.028,-18.716,22.6,23.9,15.1,24.3,14.1
13.529,-18.716,21.2,25.9,14.6,23.8,14.5
18.03,-18.716,20.5,26.4,14.9,23.2,15.0
22.53,-18.716,18.9,28.2,13.8,23.9,15.2
27.03,-18.716,17.9,29.9,13.7,22.7,15.7
31.53,-18.716,17.1,31.8,13.2,22.3,15.6
36.03,-18.716,16.2,32.5,12.6,22.0,16.7
40.53,-18.716,15.5,35.0,10.8,21.7,17.0
-40.459,-14.22,37.2,12.8,21.3,18.6,10.2
-35.96,-14.22,35.1,14.2,21.4,19.2,10.1
-31.46,-14.22,34.1,14.3,20.6,20.0,11.1
-26.962,-14.22,32.1,15.6,20.4,20.7,11.2
-22.46,-14.22,30.8,16.3,20.4,20.6,11.9
-17.96,-14.22,29.5,16.9,19.9,21.5,12.2
-13.46,-14.22,28.1,18.3,19.4,21.8,12.4
-8.959,-14.22,26.7,19.5,18.7,22.3,12.8
-4.459,-14.22,25.7,21.3,17.9,21.9,13.3
0.03,-14.22,24.3,21.5,17.6,22.8,13.8
4.528,-14.22,23.1,23.1,17.2,22.6,14.0
9.028,-14.22,21.8,24.1,16.9,22.5,14.7
13.529,-14.22,21.1,25.6,15.5,22.6,15.1
18.029,-14.22,20.0,26.8,15.1,22.8,15.2
22.53,-14.22,18.5,28.4,15.1,22.1,15.9
27.028,-14.22,17.9,29.5,14.4,22.3,15.9
31.53,-14.22,16.8,31.5,13.2,21.6,16.9
36.028,-14.22,16.2,32.2,12.9,21.8,16.9
40.53,-14.22,15.1,34.0,12.7,20.4,17.9
45.03,-14.22,14.8,35.8,11.5,19.9,18.0
-40.459,-9.715,35.2,12.9,23.6,17.7,10.6
-35.961,-9.715,34.3,13.5,23.6,18.1,10.5
-31.46,-9.715,33.3,14.2,22.6,18.6,11.4
-26.961,-9.715,31.6,15.8,21.9,19.3,11.4
-22.461,-9.715,30.9,15.8,21.2,19.8,12.3
-17.958,-9.715,28.9,17.3,21.0,19.9,12.9
-13.459,-9.715,28.4,17.8,20.2,20.7,12.9
-8.959,-9.715,26.4,19.0,20.2,20.8,13.6
-4.459,-9.715,24.7,21.2,18.5,21.3,14.3
0.03,-9.715,23.9,21.1,19.0,21.7,14.4
4.529,-9.715,22.7,22.4,17.9,22.1,14.9
9.029,-9.715,22.2,23.8,17.2,21.5,15.2
13.53,-9.715,20.6,24.5,17.2,21.9,15.9
18.029,-9.715,19.3,26.9,16.1,21.7,16.1
22.531,-9.715,18.8,28.2,15.4,21.1,16.5
27.028,-9.715,17.8,29.6,14.9,20.4,17.3
31.529,-9.715,16.8,30.6,14.6,20.5,17.4
36.028,-9.715,15.5,33.0,13.4,20.3,17.8
40.528,-9.715,15.5,33.2,12.9,20.0,18.4
45.029,-9.715,14.5,35.0,12.7,19.3,18.4
-40.457,-5.219,34.8,13.0,25.1,16.5,10.6
-35.961,-5.219,33.9,13.5,24.4,17.1,11.1
-31.459,-5.219,32.5,14.2,24.1,17.8,11.5
-26.961,-5.219,31.0,15.5,23.3,17.9,12.2
-22.461,-5.219,30.0,16.3,22.7,18.4,12.5
-17.961,-5.219,28.6,17.2,22.1,19.1,13.0
-13.46,-5.219,27.7,17.6,21.5,19.7,13.5
-8.96,-5.219,25.9,18.5,21.5,20.4,13.8
-4.46,-5.219,24.8,20.1,20.3,20.0,14.8
0.03,-5.219,23.6,21.0,20.0,20.5,15.1
4.529,-5.219,23.0,21.7,19.5,20.2,15.6
9.03,-5.219,21.2,23.7,18.3,20.4,16.4
13.53,-5.219,20.6,24.9,17.4,20.7,16.3
18.029,-5.219,19.2,26.5,17.2,20.3,16.7
22.529,-5.219,18.2,27.0,17.1,20.7,16.9
27.03,-5.219,17.2,29.3,16.2,19.5,17.8
31.53,-5.219,16.5,30.0,15.5,20.1,17.9
36.027,-5.219,16.4,30.9,14.8,19.4,18.6
40.53,-5.219,15.5,33.3,13.6,18.6,19.0
45.03,-5.219,14.3,34.2,13.2,18.8,19.6
-40.458,-0.717,34.1,12.4,26.1,16.0,11.4
-35.961,-0.717,33.8,13.0,25.2,16.3,11.6
-31.461,-0.717,31.8,14.1,25.5,16.5,12.0
-26.962,-0.717,30.6,14.8,24.5,17.4,12.6
-22.46,-0.717,29.2,15.3,24.8,17.5,13.2
