pos;Nb;Mo;Ta;W;current
1;33.9;16.2;37.3;12.6;0
2;35.7;16.3;34.9;13.1;0
3;37.8;16.1;32.4;13.8;0
4;40.1;15;30.6;14.3;0
5;41.6;15.3;28.7;14.5;0
6;44.5;14.2;27.1;14.1;0
7;46.6;13.7;25.1;14.6;0
8;48.2;13.1;23.9;14.9;0
9;50.1;11.9;22.4;15.6;0
10;52.2;12.2;21;14.6;0
11;54.4;10.9;19.4;15.3;0
12;31.3;17.4;38.8;12.5;0
13;33.5;16.8;36.3;13.4;0
14;35.2;16.6;34.2;14;0
15;38.1;16.2;31.9;13.7;0
16;39.5;16.4;30.3;13.8;0
17;41.8;15.5;28;14.8;0
18;44.4;13.9;26.9;14.9;0
19;46.1;13.8;24.9;15.3;0
20;47.9;13.7;23.1;15.3;0
21;49.2;13.6;21.8;15.4;0
22;51.8;12;20.3;15.9;0
23;54.3;11.1;19;15.7;0
24;56.2;10.4;17.5;15.8;0
25;30;17.7;39.5;12.8;0
26;31.1;17.8;38;13.1;0
27;32.6;17.9;35.5;14;0
28;35.6;17.3;33;14.2;0
29;37;17.1;31.3;14.7;0
30;39.9;15.9;29.2;15;0
31;41.3;15.3;27.8;15.5;0
32;43.6;14.8;26.3;15.3;0
33;45.7;13.9;24.3;16.2;0
34;47.4;13.6;22.8;16.2;0
35;49.1;13.1;21.1;16.7;0
36;51.5;11.8;20;16.7;0
37;53.1;11.3;18.7;16.9;0
38;54.9;11.3;17.2;16.6;0
39;57.2;9.8;16.4;16.6;0
40;27.3;19;40.8;12.8;0
41;29.4;19.1;38.4;13.2;0
42;31.1;19.2;36.4;13.3;0
43;32.6;18.7;34.7;14;0
44;34.5;18.4;32.4;14.8;0
45;36.8;17;31.1;15.1;0
46;38.9;16.8;29.1;15.2;0
47;41;16.1;27.4;15.5;0
48;42.6;15.7;25.6;16.2;0
49;44.6;15.2;24;16.3;0
50;46.9;14.5;22.2;16.5;0
51;47.9;13.6;21.5;17;0
52;50.7;12.7;19.5;17.1;0
53;52.8;11.7;18;17.6;0
54;54.6;11;16.7;17.6;0
55;56.8;10.6;15.8;16.9;0
56;58.2;9.7;14.7;17.4;0
57;25.5;20.2;42;12.3;0
58;27.4;20.2;40.1;12.3;0
59;28.3;20;38;13.6;0
60;31.6;19.1;35.4;14;0
61;31.7;19.3;33.9;15;0
62;34.7;18.3;32.1;14.9;0
63;36.6;17.8;30;15.5;0
64;38.4;17.2;28.4;16;0
65;40.2;16.6;26.6;16.6;0
66;41.9;16.4;25.1;16.6;0
67;44.2;15.9;23;16.9;0
68;45.9;14.3;22.2;17.7;0
69;47.3;14.1;20.7;17.9;0
70;49.4;13.5;19.1;18;0
71;51.8;12.1;18.2;17.9;0
72;53.6;11.8;16.5;18.1;0
73;55.3;11.6;15.4;17.8;0
74;58;9.9;14;18;0
75;59.8;9.1;13.2;17.9;0
76;24.8;21.8;40.1;13.2;0
77;26.5;21.3;38.7;13.5;0
78;28.6;20.5;37;13.9;0
79;30.3;20.2;34.8;14.7;0
80;32.1;19.9;32.7;15.2;0
81;33.8;19.2;31.3;15.6;0
82;35.4;19;29.3;16.4;0
83;37.4;18.3;27.7;16.5;0
84;39.3;17.7;26.2;16.9;0
85;41.3;16.9;24.5;17.3;0
86;43.3;16.2;22.6;17.9;0
87;45.4;15.4;21.2;18;0
88;47.6;14.8;19.5;18;0
89;49.1;13.5;19.1;18.3;0
90;51.2;12.8;17.1;18.9;0
91;52.7;12.2;16.2;18.9;0
92;55.3;11.3;14.8;18.7;0
93;56.5;11;14.1;18.3;0
94;58.7;9.8;12.9;18.6;0
95;23.3;22.3;41.7;12.7;0
96;24.7;22.2;39.8;13.2;0
97;25.8;22.1;37.8;14.3;0
98;27.9;21.7;35.5;14.9;0
99;30.3;20.1;34.2;15.4;0
100;31.7;19.9;32.3;16;0
101;33.7;20.2;30.4;15.7;0
102;35.9;19.1;28.4;16.6;0
103;36.6;19.2;26.7;17.5;0
104;38.5;17.5;26;18;0
105;40.7;17.1;24;18.2;0
106;42.5;16.1;22.6;18.8;0
107;44.5;16.2;20.6;18.7;0
108;47.1;14.8;19.5;18.5;0
109;48;14.4;18.3;19.3;0
110;50.1;13.4;17.3;19.2;0
111;52.4;12.1;16;19.5;0
112;54.3;11.9;14.9;19;0
113;55.7;11.2;13.8;19.3;0
114;57.6;9.8;13.2;19.4;0
115;59.1;9.6;12.2;19.1;0
116;22.5;23.7;40.3;13.5;0
117;24.2;23.8;38.4;13.7;0
118;26.2;23.4;36.4;14;0
119;27.8;22.2;34.5;15.5;0
120;29.4;22.1;33.3;15.3;0
121;31.5;21;31.5;16;0
122;32.9;20.4;30;16.7;0
123;34.5;20.3;27.9;17.3;0
124;35.9;20.1;26.2;17.8;0
125;38.3;18.1;24.9;18.7;0
126;39.8;18.2;23.5;18.4;0
127;41.9;17.3;21.9;18.9;0
128;44;16.1;20.3;19.6;0
129;45.6;14.8;19.7;19.8;0
130;47.3;14.1;18.5;20.1;0
131;49;13.4;17.3;20.3;0
132;51.2;12.7;15.8;20.4;0
133;53.3;11.4;14.6;20.6;0
134;54.8;11.4;13.8;20;0
135;57.1;9.7;12.5;20.7;0
136;58.7;9.1;11.7;20.5;0
137;22.7;24.6;39.6;13.1;0
138;24;24.4;37.3;14.3;0
139;25.4;24.1;35.7;14.8;0
140;27.1;23.1;34.5;15.3;0
141;28.3;22.4;32.7;16.5;0
142;30;22.2;30.9;16.9;0
143;31.8;21.5;29.2;17.5;0
144;34.1;20.9;27.3;17.8;0
145;36;19.7;25.7;18.6;0
146;37.4;19;24.2;19.4;0
147;39.3;18.7;22.7;19.3;0
148;41.3;17.6;21.1;20;0
149;43.1;16.4;20.1;20.4;0
150;45.5;15.1;18.6;20.8;0
151;46.8;14.5;17.6;21.1;0
152;48.5;14.4;16.1;21;0
153;50.5;13.1;15.1;21.3;0
